CPU: 12 | Memory: 7260422144 | Platform: win32
CPU: 12 | Memory: 7184011264 | Platform: win32
CPU: 12 | Memory: 7197372416 | Platform: win32
CPU: 12 | Memory: 7196254208 | Platform: win32
CPU: 12 | Memory: 7200956416 | Platform: win32
CPU: 12 | Memory: 7171878912 | Platform: win32
CPU: 12 | Memory: 7065104384 | Platform: win32
CPU: 12 | Memory: 7159267328 | Platform: win32
CPU: 12 | Memory: 7141285888 | Platform: win32
CPU: 12 | Memory: 7149006848 | Platform: win32
CPU: 12 | Memory: 7163621376 | Platform: win32
CPU: 12 | Memory: 7145766912 | Platform: win32
CPU: 12 | Memory: 7153737728 | Platform: win32
CPU: 12 | Memory: 7160791040 | Platform: win32
CPU: 12 | Memory: 7126061056 | Platform: win32
CPU: 12 | Memory: 7139102720 | Platform: win32
CPU: 12 | Memory: 7151730688 | Platform: win32
CPU: 12 | Memory: 7164747776 | Platform: win32
CPU: 12 | Memory: 7080701952 | Platform: win32
CPU: 12 | Memory: 7069720576 | Platform: win32
CPU: 12 | Memory: 7091150848 | Platform: win32
CPU: 12 | Memory: 7071449088 | Platform: win32
CPU: 12 | Memory: 7079505920 | Platform: win32
CPU: 12 | Memory: 7089569792 | Platform: win32
CPU: 12 | Memory: 7105650688 | Platform: win32
CPU: 12 | Memory: 7095463936 | Platform: win32
CPU: 12 | Memory: 7100547072 | Platform: win32
CPU: 12 | Memory: 7091441664 | Platform: win32
CPU: 12 | Memory: 7080288256 | Platform: win32
CPU: 12 | Memory: 7099969536 | Platform: win32
CPU: 12 | Memory: 7073841152 | Platform: win32
CPU: 12 | Memory: 7103168512 | Platform: win32
CPU: 12 | Memory: 7099277312 | Platform: win32
CPU: 12 | Memory: 7119253504 | Platform: win32
CPU: 12 | Memory: 7115288576 | Platform: win32
CPU: 12 | Memory: 7127449600 | Platform: win32
CPU: 12 | Memory: 7163813888 | Platform: win32
CPU: 12 | Memory: 7151017984 | Platform: win32
CPU: 12 | Memory: 7150235648 | Platform: win32
CPU: 12 | Memory: 7092199424 | Platform: win32
CPU: 12 | Memory: 7121039360 | Platform: win32
CPU: 12 | Memory: 7123263488 | Platform: win32
CPU: 12 | Memory: 7138861056 | Platform: win32
CPU: 12 | Memory: 7123951616 | Platform: win32
CPU: 12 | Memory: 7122374656 | Platform: win32
CPU: 12 | Memory: 7107354624 | Platform: win32
CPU: 12 | Memory: 7108497408 | Platform: win32
CPU: 12 | Memory: 7126048768 | Platform: win32
CPU: 12 | Memory: 7131365376 | Platform: win32
CPU: 12 | Memory: 7136440320 | Platform: win32
CPU: 12 | Memory: 7091458048 | Platform: win32
CPU: 12 | Memory: 7108038656 | Platform: win32
CPU: 12 | Memory: 7119208448 | Platform: win32
CPU: 12 | Memory: 7054700544 | Platform: win32
CPU: 12 | Memory: 7092273152 | Platform: win32
CPU: 12 | Memory: 7092924416 | Platform: win32
CPU: 12 | Memory: 7093977088 | Platform: win32
CPU: 12 | Memory: 7090688000 | Platform: win32
CPU: 12 | Memory: 7068889088 | Platform: win32
CPU: 12 | Memory: 7085105152 | Platform: win32
CPU: 12 | Memory: 7082729472 | Platform: win32
CPU: 12 | Memory: 7060590592 | Platform: win32
CPU: 12 | Memory: 7070027776 | Platform: win32
CPU: 12 | Memory: 7101419520 | Platform: win32
CPU: 12 | Memory: 7079112704 | Platform: win32
CPU: 12 | Memory: 7058841600 | Platform: win32
CPU: 12 | Memory: 7061245952 | Platform: win32
CPU: 12 | Memory: 7069782016 | Platform: win32
CPU: 12 | Memory: 7063896064 | Platform: win32
CPU: 12 | Memory: 7039197184 | Platform: win32
CPU: 12 | Memory: 7023038464 | Platform: win32
CPU: 12 | Memory: 7036395520 | Platform: win32
CPU: 12 | Memory: 7044206592 | Platform: win32
CPU: 12 | Memory: 7055970304 | Platform: win32
CPU: 12 | Memory: 7063056384 | Platform: win32
CPU: 12 | Memory: 7042818048 | Platform: win32
CPU: 12 | Memory: 7034118144 | Platform: win32
CPU: 12 | Memory: 7022723072 | Platform: win32
CPU: 12 | Memory: 6943748096 | Platform: win32
CPU: 12 | Memory: 6968401920 | Platform: win32
CPU: 12 | Memory: 6947139584 | Platform: win32
CPU: 12 | Memory: 6969905152 | Platform: win32
CPU: 12 | Memory: 6971908096 | Platform: win32
CPU: 12 | Memory: 6980665344 | Platform: win32
CPU: 12 | Memory: 6986354688 | Platform: win32
CPU: 12 | Memory: 6971117568 | Platform: win32
CPU: 12 | Memory: 6965010432 | Platform: win32
CPU: 12 | Memory: 6975979520 | Platform: win32
CPU: 12 | Memory: 6977290240 | Platform: win32
CPU: 12 | Memory: 6950690816 | Platform: win32
CPU: 12 | Memory: 6959448064 | Platform: win32
CPU: 12 | Memory: 6969233408 | Platform: win32
CPU: 12 | Memory: 6978195456 | Platform: win32
CPU: 12 | Memory: 6984556544 | Platform: win32
CPU: 12 | Memory: 6990811136 | Platform: win32
CPU: 12 | Memory: 6979379200 | Platform: win32
CPU: 12 | Memory: 6996058112 | Platform: win32
CPU: 12 | Memory: 7003897856 | Platform: win32
CPU: 12 | Memory: 7003713536 | Platform: win32
CPU: 12 | Memory: 7012478976 | Platform: win32
CPU: 12 | Memory: 7009366016 | Platform: win32
CPU: 12 | Memory: 7022112768 | Platform: win32
CPU: 12 | Memory: 7000289280 | Platform: win32
CPU: 12 | Memory: 7020224512 | Platform: win32
CPU: 12 | Memory: 7019659264 | Platform: win32
CPU: 12 | Memory: 7002710016 | Platform: win32
CPU: 12 | Memory: 7012052992 | Platform: win32
CPU: 12 | Memory: 6967320576 | Platform: win32
CPU: 12 | Memory: 6990618624 | Platform: win32
CPU: 12 | Memory: 7009226752 | Platform: win32
